Dataset,Region,Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
161,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,66176181,522486629,298900288,409730233,186057236,,,,,,
161,Buffalo City Municipality,City,,,,,,,,,,,,,,24317321,210998044,58206738,106769757,241010582,,,,,,
161,Mangaung Municipality,City,,,,,,,,,,,,,,93235427,216770042,440626459,316518477,564849390,,,,,,
161,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
162,City of Johannesburg,City,,,,,,,,,,,,,,5925902000,6468824000,7098305000,7447294000,7892502000,,,,,,
162,City of Tshwane,City,,,,,,,,,,,,,,3572319226,4304765696,4815286269,5247100572,5977317312,,,,,,
162,City of Cape Town,City,,,,,,,,,,,,,,5632296000,6184573000,6955786000,7446199000,8640854000,,,,,,
162,EThekwini Municipality,City,,,,,,,,,,,,,,4632868000,4914202000,6576031000,5911639000,6576461000,,,,,,
162,Ekurhuleni Municipality,City,,,,,,,,,,,,,,3987222239,3934436655,4257136931,4299619422,4766617621,,,,,,
162,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,1629721414,1912238132,1858808571,1716616688,1750402267,,,,,,
162,Buffalo City Municipality,City,,,,,,,,,,,,,,784865582,861417819,952656803,982560038,1129245617,,,,,,
162,Mangaung Municipality,City,,,,,,,,,,,,,,695516688,749171468,860487677,920307503,1029344532,,,,,,
162,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
163,City of Johannesburg,City,,,,,,,,,,,,,,23609381000,24789476000,26057141000,29785988000,31554713000,,,,,,
163,City of Tshwane,City,,,,,,,,,,,,,,10385573703,12018548348,14118095380,16359268905,17544520387,,,,,,
163,City of Cape Town,City,,,,,,,,,,,,,,14152253000,14733817000,16416945000,19477444000,20580357000,,,,,,
163,EThekwini Municipality,City,,,,,,,,,,,,,,17355298000,18871890000,21188542000,21252681000,23064108000,,,,,,
163,Ekurhuleni Municipality,City,,,,,,,,,,,,,,7856804523,9324933355,10470284769,13118783748,14346669489,,,,,,
163,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,4503606645,5019909150,5423284147,5747653650,5473185490,,,,,,
163,Buffalo City Municipality,City,,,,,,,,,,,,,,1591326950,1890568295,2457910079,2229944914,2068053496,,,,,,
163,Mangaung Municipality,City,,,,,,,,,,,,,,1347534742,1587525944,1943714326,3174446083,3453534246,,,,,,
163,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
164,City of Johannesburg,City,,,,,,,,,,,,,,305832000,695161000,2174445000,5400846000,5327242000,,,,,,
164,City of Tshwane,City,,,,,,,,,,,,,,111632939,414103598,643631587,686118280,174299426,,,,,,
164,City of Cape Town,City,,,,,,,,,,,,,,4653456000,3304129000,3481533000,4730196000,2266559000,,,,,,
164,EThekwini Municipality,City,,,,,,,,,,,,,,520717000,684619000,783420000,979463000,996029000,,,,,,
164,Ekurhuleni Municipality,City,,,,,,,,,,,,,,704129378,1431951245,3050454531,4374377023,5894540499,,,,,,
164,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,166403825,189039374,224886488,274851075,130077012,,,,,,
164,Buffalo City Municipality,City,,,,,,,,,,,,,,559471089,741246762,1522347706,1841692449,2162739494,,,,,,
164,Mangaung Municipality,City,,,,,,,,,,,,,,45461179,246465537,341761026,257366261,132390525,,,,,,
164,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
165,City of Johannesburg,City,,,,,,,,,,,,,,0.61,0.71,0.91,0.97,1.04,,,,,,
165,City of Tshwane,City,,,,,,,,,,,,,,0.83,0.84,0.76,0.78,0.66,,,,,,
165,City of Cape Town,City,,,,,,,,,,,,,,1.52,1.58,1.5,1.58,1.18,,,,,,
165,EThekwini Municipality,City,,,,,,,,,,,,,,1.07,1.22,1.37,1.19,1.17,,,,,,
165,Ekurhuleni Municipality,City,,,,,,,,,,,,,,0.69,1.21,1.55,1.39,1.71,,,,,,
165,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,0.7,0.9,1.09,1.36,,,,,,
165,Buffalo City Municipality,City,,,,,,,,,,,,,,1.36,1.18,1.6,2.02,2.63,,,,,,
165,Mangaung Municipality,City,,,,,,,,,,,,,,0.5,0.64,0.82,0.36,0.54,,,,,,
165,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
166,City of Johannesburg,City,,,,,,,,,,,,,,0.9,0.83,0.74,0.85,0.82,,,,,,
166,City of Tshwane,City,,,,,,,,,,,,,,0.76,0.79,0.75,0.75,0.76,,,,,,
166,City of Cape Town,City,,,,,,,,,,,,,,0.76,0.71,0.69,0.71,0.73,,,,,,
166,EThekwini Municipality,City,,,,,,,,,,,,,,0.92,0.98,0.94,0.87,0.88,,,,,,
166,Ekurhuleni Municipality,City,,,,,,,,,,,,,,0.56,0.55,0.5,0.59,0.57,,,,,,
166,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,0.79,0.71,0.72,0.64,,,,,,
166,Buffalo City Municipality,City,,,,,,,,,,,,,,0.57,0.62,0.68,0.5,0.4,,,,,,
166,Mangaung Municipality,City,,,,,,,,,,,,,,0.49,0.51,0.48,1.01,0.8,,,,,,
166,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
167,City of Johannesburg,City,,,,,,,,,,,,,,0.63,0.74,0.94,0.99,1.06,,,,,,
167,City of Tshwane,City,,,,,,,,,,,,,,0.88,0.91,0.83,0.84,0.72,,,,,,
167,City of Cape Town,City,,,,,,,,,,,,,,1.56,1.62,1.53,1.61,1.21,,,,,,
167,EThekwini Municipality,City,,,,,,,,,,,,,,1.11,1.25,1.4,1.21,1.2,,,,,,
167,Ekurhuleni Municipality,City,,,,,,,,,,,,,,0.73,1.26,1.59,1.41,1.73,,,,,,
167,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,0.76,0.94,1.13,1.4,,,,,,
167,Buffalo City Municipality,City,,,,,,,,,,,,,,1.48,1.33,1.68,2.08,2.7,,,,,,
167,Mangaung Municipality,City,,,,,,,,,,,,,,0.56,0.68,0.86,0.43,0.62,,,,,,
167,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
168,City of Johannesburg,City,,,,,,,,,,,,,,0.55,0.52,0.51,0.49,0.47,,,,,,
168,City of Tshwane,City,,,,,,,,,,,,,,0.54,0.55,0.55,0.55,0.55,,,,,,
168,City of Cape Town,City,,,,,,,,,,,,,,0.48,0.47,0.46,0.46,0.46,,,,,,
168,EThekwini Municipality,City,,,,,,,,,,,,,,0.45,0.44,0.45,0.44,0.44,,,,,,
168,Ekurhuleni Municipality,City,,,,,,,,,,,,,,0.16,0.19,0.21,0.25,0.26,,,,,,
168,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,0.36,0.36,0.36,0.33,,,,,,
168,Buffalo City Municipality,City,,,,,,,,,,,,,,0.12,0.14,0.18,0.17,0.15,,,,,,
168,Mangaung Municipality,City,,,,,,,,,,,,,,0.28,0.14,0.16,0.24,0.24,,,,,,
168,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
169,City of Johannesburg,City,,,,,,,,,,,,,,0,864881000,913521000,1649836000,915793000,,,,,,
169,City of Tshwane,City,,,,,,,,,,,,,,746049485,811402855,570397687,775162390,419267207,,,,,,
169,City of Cape Town,City,,,,,,,,,,,,,,77872000,2129894000,215170000,271984000,488361000,,,,,,
169,EThekwini Municipality,City,,,,,,,,,,,,,,402822000,1391343000,785002000,838210000,582927000,,,,,,
169,Ekurhuleni Municipality,City,,,,,,,,,,,,,,425487059,124656450,287293601,1698064282,945779833,,,,,,
169,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,822605000,81492541,936505608,452439734,422871940,,,,,,
169,Buffalo City Municipality,City,,,,,,,,,,,,,,0,0,0,30555844,43152647,,,,,,
169,Mangaung Municipality,City,,,,,,,,,,,,,,0,601510438,605365520,13655540,133595140,,,,,,
169,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
170,City of Johannesburg,City,,,,,,,,,,,,,,1731000,2932000,1144000,4147000,16803000,,,,,,
170,City of Tshwane,City,,,,,,,,,,,,,,2288398,469472,11385049,6678,329768,,,,,,
170,City of Cape Town,City,,,,,,,,,,,,,,8000,731000,0,0,294000,,,,,,
170,EThekwini Municipality,City,,,,,,,,,,,,,,532576000,1327141000,785002000,325271000,27558000,,,,,,
170,Ekurhuleni Municipality,City,,,,,,,,,,,,,,6706272,35731579,74760420,39113512,770556,,,,,,
170,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,66176181,69298697,557171342,2654542418,3147050750,,,,,,
170,Buffalo City Municipality,City,,,,,,,,,,,,,,199867,1980224,1001316,541057,400697,,,,,,
170,Mangaung Municipality,City,,,,,,,,,,,,,,21326830,40953136,14450673,1176388,148343,,,,,,
170,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
171,City of Johannesburg,City,,,,,,,,,,,,,5888504,,,,,7093194,,,,,,
171,City of Tshwane,City,,,,,,,,,,,,,3534009,,,,,5482870,,,,,,
171,City of Cape Town,City,,,,,,,,,,,,,5237528,,,,,7829746,,,,,,
171,EThekwini Municipality,City,,,,,,,,,,,,,4719555,,,,,6210567,,,,,,
171,Ekurhuleni Municipality,City,,,,,,,,,,,,,3979894,,,,,5074158,,,,,,
171,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,1478388,,,,,1586866,,,,,,
171,Buffalo City Municipality,City,,,,,,,,,,,,,772764,,,,,1017338,,,,,,
171,Mangaung Municipality,City,,,,,,,,,,,,,680617,,,,,995955,,,,,,
171,Msunduzi Municipality,City,,,,,,,,,,,,,672205,,,,,671160,,,,,,
172,City of Johannesburg,City,,,,,,,,,,,,,79244,,,,,108648,,,,,,
172,City of Tshwane,City,,,,,,,,,,,,,63886,,,,,87196,,,,,,
172,City of Cape Town,City,,,,,,,,,,,,,91329,,,,,108246,,,,,,
172,EThekwini Municipality,City,,,,,,,,,,,,,80415,,,,,85334,,,,,,
172,Ekurhuleni Municipality,City,,,,,,,,,,,,,67771,,,,,84812,,,,,,
172,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,47617,,,,,50065,,,,,,
172,Buffalo City Municipality,City,,,,,,,,,,,,,22344,,,,,40776,,,,,,
172,Mangaung Municipality,City,,,,,,,,,,,,,23822,,,,,42438,,,,,,
172,Msunduzi Municipality,City,,,,,,,,,,,,,22120,,,,,33423,,,,,,
173,City of Johannesburg,City,,,,,,,,,,,,,1702638,,,,,2855328,,,,,,
173,City of Tshwane,City,,,,,,,,,,,,,504671,,,,,1261823,,,,,,
173,City of Cape Town,City,,,,,,,,,,,,,1042132,,,,,1196234,,,,,,
173,EThekwini Municipality,City,,,,,,,,,,,,,549276,,,,,1458312,,,,,,
173,Ekurhuleni Municipality,City,,,,,,,,,,,,,1677713,,,,,1211729,,,,,,
173,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,202620,,,,,4180871,,,,,,
173,Buffalo City Municipality,City,,,,,,,,,,,,,159406,,,,,217126,,,,,,
173,Mangaung Municipality,City,,,,,,,,,,,,,213414,,,,,535646,,,,,,
173,Msunduzi Municipality,City,,,,,,,,,,,,,11542,,,,,101513,,,,,,
174,City of Johannesburg,City,,,,,,,,,,,,,477332,,,,,908284,,,,,,
174,City of Tshwane,City,,,,,,,,,,,,,129371,,,,,1175811,,,,,,
174,City of Cape Town,City,,,,,,,,,,,,,795698,,,,,0,,,,,,
174,EThekwini Municipality,City,,,,,,,,,,,,,1731035,,,,,1819030,,,,,,
174,Ekurhuleni Municipality,City,,,,,,,,,,,,,1223314,,,,,1230742,,,,,,
174,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,440463,,,,,441237,,,,,,
174,Buffalo City Municipality,City,,,,,,,,,,,,,134805,,,,,257370,,,,,,
174,Mangaung Municipality,City,,,,,,,,,,,,,156285,,,,,238723,,,,,,
174,Msunduzi Municipality,City,,,,,,,,,,,,,89951,,,,,125425,,,,,,
175,City of Johannesburg,City,,,,,,,,,,,,,6265894,,,,,10624086,,,,,,
175,City of Tshwane,City,,,,,,,,,,,,,3272489,,,,,6331958,,,,,,
175,City of Cape Town,City,,,,,,,,,,,,,3322067,,,,,5938047,,,,,,
175,EThekwini Municipality,City,,,,,,,,,,,,,4212084,,,,,7062692,,,,,,
175,Ekurhuleni Municipality,City,,,,,,,,,,,,,4757647,,,,,8191636,,,,,,
175,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,1087068,,,,,2028431,,,,,,
175,Buffalo City Municipality,City,,,,,,,,,,,,,538722,,,,,1000418,,,,,,
175,Mangaung Municipality,City,,,,,,,,,,,,,708828,,,,,1339679,,,,,,
175,Msunduzi Municipality,City,,,,,,,,,,,,,734965,,,,,1309371,,,,,,
176,City of Johannesburg,City,,,,,,,,,,,,,6265894,,,,,6425826,,,,,,
176,City of Tshwane,City,,,,,,,,,,,,,3272489,,,,,3845428,,,,,,
176,City of Cape Town,City,,,,,,,,,,,,,3322067,,,,,6527650,,,,,,
176,EThekwini Municipality,City,,,,,,,,,,,,,4212084,,,,,3077080,,,,,,
176,Ekurhuleni Municipality,City,,,,,,,,,,,,,4757647,,,,,2551403,,,,,,
176,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,1087068,,,,,1514579,,,,,,
176,Buffalo City Municipality,City,,,,,,,,,,,,,538722,,,,,906669,,,,,,
176,Mangaung Municipality,City,,,,,,,,,,,,,708828,,,,,679835,,,,,,
176,Msunduzi Municipality,City,,,,,,,,,,,,,734965,,,,,532759,,,,,,
177,City of Johannesburg,City,,,,,,,,,,,,,20477051,,,,,28015401,,,,,,
177,City of Tshwane,City,,,,,,,,,,,,,11735247,,,,,18185086,,,,,,
177,City of Cape Town,City,,,,,,,,,,,,,14692773,,,,,21599923,,,,,,
177,EThekwini Municipality,City,,,,,,,,,,,,,14802600,,,,,19713014,,,,,,
177,Ekurhuleni Municipality,City,,,,,,,,,,,,,13413021,,,,,18344479,,,,,,
177,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,4386143,,,,,5802049,,,,,,
177,Buffalo City Municipality,City,,,,,,,,,,,,,2252013,,,,,3439697,,,,,,
177,Mangaung Municipality,City,,,,,,,,,,,,,2101137,,,,,3832277,,,,,,
177,Msunduzi Municipality,City,,,,,,,,,,,,,2230635,,,,,2773650,,,,,,
178,City of Johannesburg,City,,,,,,,,,,,,,,,,,,0.065,,,,,,
178,City of Tshwane,City,,,,,,,,,,,,,,,,,,0.092,,,,,,
178,City of Cape Town,City,,,,,,,,,,,,,,,,,,0.08,,,,,,
178,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,0.059,,,,,,
178,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,0.065,,,,,,
178,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,0.058,,,,,,
178,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,0.088,,,,,,
178,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,0.128,,,,,,
178,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,,,,,,
179,City of Johannesburg,City,,,,,,,,,,,,,0.0233,,,,,0.0324,,,,,,
179,City of Tshwane,City,,,,,,,,,,,,,0.011,,,,,0.065,,,,,,
179,City of Cape Town,City,,,,,,,,,,,,,0.054,,,,,,,,,,,
179,EThekwini Municipality,City,,,,,,,,,,,,,0.117,,,,,0.0923,,,,,,
179,Ekurhuleni Municipality,City,,,,,,,,,,,,,0.0912,,,,,0.067,,,,,,
179,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,0.1,,,,,0.076,,,,,,
179,Buffalo City Municipality,City,,,,,,,,,,,,,0.06,,,,,0.075,,,,,,
179,Mangaung Municipality,City,,,,,,,,,,,,,0.074,,,,,0.062,,,,,,
179,Msunduzi Municipality,City,,,,,,,,,,,,,0.04,,,,,0.045,,,,,,
180,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,1134,,,,,
180,City of Tshwane,City,,,,,,,,,,,,,,,,,,,1030,,,,,
180,City of Cape Town,City,,,,,,,,,,,,,,,,,,,913,,,,,
180,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,906,,,,,
180,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,620,,,,,
180,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,887,,,,,
180,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,1167,,,,,
180,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,739,,,,,
180,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,1409,,,,,
181,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,6742,,,,,
181,City of Tshwane,City,,,,,,,,,,,,,,,,,,,6742,,,,,
181,City of Cape Town,City,,,,,,,,,,,,,,,,,,,6742,,,,,
181,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,6742,,,,,
181,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,6742,,,,,
181,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,6742,,,,,
181,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,6742,,,,,
181,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,6742,,,,,
181,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,6742,,,,,
182,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,0.168,,,,,
182,City of Tshwane,City,,,,,,,,,,,,,,,,,,,0.153,,,,,
182,City of Cape Town,City,,,,,,,,,,,,,,,,,,,0.135,,,,,
182,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,0.135,,,,,
182,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,0.092,,,,,
182,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,0.132,,,,,
182,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,0.173,,,,,
182,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,0.11,,,,,
182,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,0.209,,,,,
183,City of Johannesburg,City,,,,,,,,,,,,,,,,,,,-0.0128,,,,,
183,City of Tshwane,City,,,,,,,,,,,,,,,,,,,-0.0218,,,,,
183,City of Cape Town,City,,,,,,,,,,,,,,,,,,,0.0399,,,,,
183,EThekwini Municipality,City,,,,,,,,,,,,,,,,,,,0.0399,,,,,
183,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,,,,-0.0099,,,,,
183,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,,,,-0.0095,,,,,
183,Buffalo City Municipality,City,,,,,,,,,,,,,,,,,,,0.0093,,,,,
183,Mangaung Municipality,City,,,,,,,,,,,,,,,,,,,-0.0047,,,,,
183,Msunduzi Municipality,City,,,,,,,,,,,,,,,,,,,-0.0188,,,,,
184,City of Johannesburg,City,,,,,,,,,,,1406466,,,,,1107068,,,,,,,,
184,City of Tshwane,City,,,,,,,,,,,876785,,,,,736009,,,,,,,,
184,City of Cape Town,City,,,,,,,,,,,1481116,,,,,1134144,,,,,,,,
184,EThekwini Municipality,City,,,,,,,,,,,1224480,,,,,990263,,,,,,,,
184,Ekurhuleni Municipality,City,,,,,,,,,,,1065357,,,,,804170,,,,,,,,
184,Nelson Mandela Bay Municipality,City,,,,,,,,,,,576411,,,,,369366,,,,,,,,
184,Buffalo City Municipality,City,,,,,,,,,,,563415,,,,,218108,,,,,,,,
184,Mangaung Municipality,City,,,,,,,,,,,,,,,,204967,,,,,,,,
184,Msunduzi Municipality,City,,,,,,,,,,,334968,,,,,176361,,,,,,,,
185,City of Johannesburg,City,,,,,,,,,,,1739292,,,,,2010121,,,,,,,,
185,City of Tshwane,City,,,,,,,,,,,1061750,,,,,1326427,,,,,,,,
185,City of Cape Town,City,,,,,,,,,,,1486781,,,,,1745853,,,,,,,,
185,EThekwini Municipality,City,,,,,,,,,,,1385923,,,,,1666549,,,,,,,,
185,Ekurhuleni Municipality,City,,,,,,,,,,,1240348,,,,,1424392,,,,,,,,
185,Nelson Mandela Bay Municipality,City,,,,,,,,,,,513491,,,,,569470,,,,,,,,
185,Buffalo City Municipality,City,,,,,,,,,,,358460,,,,,384910,,,,,,,,
185,Mangaung Municipality,City,,,,,,,,,,,,,,,,372692,,,,,,,,
185,Msunduzi Municipality,City,,,,,,,,,,,233512,,,,,282708,,,,,,,,
186,Buffalo City,City,,,,,,,,,,8370,7669,7094,7137,6243,6573,6496,5676,6398,5591,5024,5286,5064,5314,
186,City of Cape Town,City,,,,,,,,,,67239,70752,69490,67759,63949,61935,66654,65549,67786,69625,64882,59842,55651,52774,
186,City of Johannesburg,City,,,,,,,,,,53108,48579,46298,45419,43447,45343,44573,42522,41934,42537,40313,38333,34801,32709,
186,City of Tshwane,City,,,,,,,,,,39053,38741,34805,33692,31502,30174,29514,28700,31282,30629,28106,26373,25420,25295,
186,Ekurhuleni,City,,,,,,,,,,25024,24740,23905,24304,23614,22621,22013,21545,22198,21429,20537,20200,18411,17701,
186,eThekwini,City,,,,,,,,,,27222,24895,23126,23727,23221,26394,28283,26643,25578,23825,21814,21205,19205,19041,
186,Mangaung,City,,,,,,,,,,9739,8563,8299,8465,7766,7107,6694,6857,6393,5713,5300,5225,4585,5234,
186,Nelson Mandela Bay,City,,,,,,,,,,14328,14420,13609,11766,9244,9905,9315,8569,8779,7839,7334,7223,6579,6634,
186,The Msunduzi,City,,,,,,,,,,4296,4446,3371,3351,3224,3753,3839,3690,3779,3864,3829,3533,3560,3915,
187,Buffalo City,City,,,,,,,,,,1103.558416,1003.126619,922.8380705,922.3832717,800.9870375,836.7374813,820.1976145,714.9876759,804.0917553,701.3465914,629.2121764,661.1108361,632.7000244,663.8891382,
187,City of Cape Town,City,,,,,,,,,,2063.803573,2122.31219,2037.464442,1939.445559,1785.317125,1685.744121,1768.391381,1698.647425,1716.407307,1723.652978,1571.021945,1417.580064,1290.791397,1199.343586,
187,City of Johannesburg,City,,,,,,,,,,1457.86349,1294.491434,1194.492819,1132.866046,1046.548379,1054.390725,1000.324741,922.852739,880.5225184,864.7338032,793.7677254,731.2839192,643.8571183,587.1200961,
187,City of Tshwane,City,,,,,,,,,,1592.350113,1535.430753,1338.383404,1256.489705,1139.207876,1058.326017,1004.251898,949.458797,1006.391669,958.6728707,856.0233317,781.645183,733.8122074,711.3097642,
187,Ekurhuleni,City,,,,,,,,,,919.8409304,888.6696468,837.4989459,828.8173831,782.7053902,728.1873641,687.8656605,655.4300458,658.0181296,619.5806416,579.5476766,556.5937805,495.4781128,465.4907632,
187,eThekwini,City,,,,,,,,,,853.6395331,768.3306245,704.6357842,712.7434398,687.0137727,768.6553464,810.5068298,753.5315771,713.9545834,656.5029195,593.4547062,569.5675872,508.5547467,496.8338659,
187,Mangaung,City,,,,,,,,,,1316.646136,1145.169105,1099.617195,1110.776336,1009.094065,914.4610814,853.148165,864.5977569,796.9858614,703.969457,645.2774988,628.277793,544.9528876,615.5108313,
187,Nelson Mandela Bay,City,,,,,,,,,,1312.21061,1307.740471,1224.425033,1049.413442,816.9279661,867.0672983,807.6504157,738.6565602,752.0777883,667.398246,620.476631,607.1592479,549.6819324,551.6359596,
187,The Msunduzi,City,,,,,,,,,,729.2060792,752.5282907,566.68339,558.6134029,532.3550854,613.3323315,620.6591047,589.0410731,595.4435611,600.959866,587.7589999,535.1719677,532.4419874,578.078788,
188,Buffalo City,City,,,,,,,,,,140,138,152,147,147,111,116,115,132,57,64,42,37,75,
188,City of Cape Town,City,,,,,,,,,,347,434,379,342,369,382,394,391,379,463,460,431,439,464,
188,City of Johannesburg,City,,,,,,,,,,586,603,512,443,422,425,369,302,303,266,249,171,94,115,
188,City of Tshwane,City,,,,,,,,,,437,499,535,398,367,353,339,292,308,291,269,177,144,158,
188,Ekurhuleni,City,,,,,,,,,,412,408,346,425,383,371,367,315,326,274,292,207,145,133,
188,eThekwini,City,,,,,,,,,,318,346,337,340,357,306,314,308,256,232,262,214,195,243,
188,Mangaung,City,,,,,,,,,,132,153,119,119,132,138,130,113,118,99,99,68,68,37,
188,Nelson Mandela Bay,City,,,,,,,,,,255,292,249,196,198,222,189,193,185,162,148,119,117,112,
188,The Msunduzi,City,,,,,,,,,,31,43,35,42,57,59,56,27,46,30,37,31,30,36,
189,Buffalo City,City,,,,,,,,,,18.45856372,18.05078543,19.77324312,18.99822628,18.8603387,14.13020849,14.64638597,14.48618441,16.5895767,7.150197766,8.015441737,5.252867029,4.622808235,9.369906918,
189,City of Cape Town,City,,,,,,,,,,10.65066167,13.01847991,11.11237622,9.788963549,10.3016782,10.39725929,10.45317917,10.13243746,9.596647823,11.46213758,11.13822162,10.20983603,10.18234036,10.54487861,
189,City of Johannesburg,City,,,,,,,,,,16.08623946,16.06822567,13.20964887,11.04955324,10.16510728,9.882805686,8.281242667,6.554290183,6.362338987,5.407508561,4.902839373,3.262190546,1.739104311,2.064227309,
189,City of Tshwane,City,,,,,,,,,,17.81827259,19.77697906,20.57276601,14.84277878,13.27183323,12.38115874,11.53491202,9.659998911,9.908849626,9.10815911,8.192922374,5.245940825,4.156922024,4.443049723,
189,Ekurhuleni,City,,,,,,,,,,15.14443987,14.6555059,12.12192576,14.49339153,12.69484901,11.94277495,11.46807329,9.582755368,9.66365935,7.922212694,8.240148102,5.703708542,3.902250087,3.49755785,
189,eThekwini,City,,,,,,,,,,9.971984847,10.67854573,10.26819421,10.21337588,10.56215998,8.91143957,8.998307979,8.711020746,7.145686658,6.392809121,7.127768085,5.748052991,5.163664442,6.340561389,
189,Mangaung,City,,,,,,,,,,17.84549645,20.46138889,15.76749563,15.61516644,17.15174048,17.75652585,16.56845854,14.24814737,14.71051645,12.19901562,12.05329668,8.176629651,8.08218023,4.351146495,
189,Nelson Mandela Bay,City,,,,,,,,,,23.35383204,26.48129109,22.40295638,17.481305,17.49802437,19.43351239,16.38710988,16.63679731,15.84854663,13.79238626,12.52120826,10.00303897,9.775465282,9.313118401,
189,The Msunduzi,City,,,,,,,,,,5.261961931,7.278163855,5.883689899,7.001421343,9.411985071,9.642048376,9.053636328,4.310056633,7.248056049,4.665837469,5.679572472,4.695819699,4.48687068,5.315667016,
190,Buffalo City,City,,,,,,,,,,6129,5928,6108,5429,5543,5217,5129,4820,4725,4252,4132,4057,3965,4388,
190,City of Cape Town,City,,,,,,,,,,14270,12903,12236,11491,12261,12431,12417,12021,12120,12694,12622,11883,11206,11374,
190,City of Johannesburg,City,,,,,,,,,,20480,19769,18697,18457,19259,17917,16658,16062,16314,16697,17155,15789,15929,16242,
190,City of Tshwane,City,,,,,,,,,,10533,10748,10877,10904,10482,9824,8942,8034,7998,7541,7568,6833,7113,7204,
190,Ekurhuleni,City,,,,,,,,,,10223,9839,9167,9308,9513,9479,8975,8476,8817,9224,9330,8827,8680,8946,
190,eThekwini,City,,,,,,,,,,11195,11055,11459,11168,11185,10851,10743,10541,10514,10429,9881,9159,8938,8589,
190,Mangaung,City,,,,,,,,,,5395,5168,5411,4864,4967,4827,4690,4895,4497,4131,3833,3526,3290,3353,
190,Nelson Mandela Bay,City,,,,,,,,,,7182,7127,7033,6493,6282,6087,5575,5301,5008,4659,4212,3746,3585,3837,
190,The Msunduzi,City,,,,,,,,,,1779,1722,1381,1495,1733,1933,1871,1721,1682,1827,1855,1754,1655,1809,
191,Buffalo City,City,,,,,,,,,,808.0895501,775.3989567,794.5721645,701.6419759,711.1759008,664.1197992,647.5975315,607.1600771,593.8314386,533.3796649,517.4969572,507.4019413,495.3901257,548.2020207,
